"","t","sigma"
"1",0.0249876874399648,0.001
"2",0.0329454617744531,0.001
"3",0.042378103713154,0.001
"4",0.0598132151928147,0.001
"5",0.0998022585335929,0.001
"6",0.165384794916381,0.001
"7",0.0249876874399648,0.01
"8",0.0329454617744531,0.01
"9",0.042378103713154,0.01
"10",0.0598132151928147,0.01
"11",0.0998022585335929,0.01
"12",0.165384794916381,0.01
"13",0.0249876874399648,0.1
"14",0.0329454617744531,0.1
"15",0.042378103713154,0.1
"16",0.0598132151928147,0.1
"17",0.0998022585335929,0.1
"18",0.165384794916381,0.1
"19",9.79929586891795e-05,0.001
"20",0.000171993496642182,0.001
"21",0.000312640568618485,0.001
"22",0.000440414334000389,0.001
"23",0.000859076303540747,0.001
"24",0.00156929386612317,0.001
"25",9.79929586891795e-05,0.01
"26",0.000171993496642182,0.01
"27",0.000312640568618485,0.01
"28",0.000440414334000389,0.01
"29",0.000859076303540747,0.01
"30",0.00156929386612317,0.01
"31",9.79929586891795e-05,0.1
"32",0.000171993496642182,0.1
"33",0.000312640568618485,0.1
"34",0.000440414334000389,0.1
"35",0.000859076303540747,0.1
"36",0.00156929386612317,0.1
"37",4.45913341102581e-07,0.001
"38",9.03949194437481e-07,0.001
"39",2.28157654069726e-06,0.001
"40",3.91982119010704e-06,0.001
"41",7.93999813378195e-06,0.001
"42",1.51232398106584e-05,0.001
"43",4.45913341102581e-07,0.01
"44",9.03949194437481e-07,0.01
"45",2.28157654069726e-06,0.01
"46",3.91982119010704e-06,0.01
"47",7.93999813378195e-06,0.01
"48",1.51232398106584e-05,0.01
"49",4.45913341102581e-07,0.1
"50",9.03949194437481e-07,0.1
"51",2.28157654069726e-06,0.1
"52",3.91982119010704e-06,0.1
"53",7.93999813378195e-06,0.1
"54",1.51232398106584e-05,0.1
